Epoch	G Loss	D Loss	Validation Loss
187	5.4172	0.2434	0.2514
188	5.3822	0.2447	0.2513
189	5.4075	0.2413	0.2519
190	5.4074	0.2392	0.2517
191	5.4079	0.2414	0.2507
192	5.4098	0.2399	0.2518
193	5.3946	0.2406	0.2516
194	5.4148	0.2393	0.2515
195	5.4107	0.2384	0.2513
196	5.4283	0.2392	0.2512
197	5.4071	0.2396	0.2519
198	5.4027	0.2389	0.2516
199	5.4318	0.2348	0.2508
200	5.4323	0.2350	0.2519
201	5.4164	0.2331	0.2514
202	5.4343	0.2334	0.2515
203	5.4257	0.2325	0.2509
204	5.4435	0.2330	0.2514
205	5.4291	0.2347	0.2516
206	5.4385	0.2343	0.2515
207	5.4261	0.2331	0.2508
208	5.4354	0.2333	0.2513
209	5.4474	0.2340	0.2516
210	5.4290	0.2333	0.2503
211	5.4588	0.2318	0.2514
212	5.4480	0.2317	0.2514
213	5.4401	0.2329	0.2515
214	5.4314	0.2337	0.2508
215	5.4527	0.2341	0.2517
216	5.4311	0.2369	0.2513
217	5.4371	0.2321	0.2510
218	5.4362	0.2307	0.2515
219	5.4488	0.2320	0.2516
220	5.4449	0.2334	0.2519
221	5.4220	0.2334	0.2512
222	5.4432	0.2304	0.2518
223	5.4578	0.2318	0.2523
224	5.4550	0.2304	0.2511
225	5.4356	0.2320	0.2516
226	5.4518	0.2308	0.2517
227	5.4534	0.2297	0.2512
228	5.4503	0.2321	0.2515
229	5.4317	0.2314	0.2511
230	5.4688	0.2292	0.2520
231	5.4578	0.2286	0.2513
232	5.4521	0.2293	0.2517
233	5.4601	0.2294	0.2511
234	5.4566	0.2282	0.2515
235	5.4617	0.2294	0.2512
236	5.4512	0.2311	0.2525
237	5.4363	0.2299	0.2514
238	5.4481	0.2295	0.2520
239	5.4484	0.2298	0.2511
240	5.4624	0.2268	0.2510
241	5.4515	0.2306	0.2522
242	5.4611	0.2269	0.2516
243	5.4591	0.2291	0.2519
244	5.4717	0.2269	0.2513
245	5.4588	0.2279	0.2514
246	5.4546	0.2276	0.2509
247	5.4576	0.2304	0.2524
248	5.4621	0.2272	0.2518
249	5.4613	0.2272	0.2512
250	5.4615	0.2282	0.2516
251	5.4641	0.2290	0.2518
252	5.4602	0.2275	0.2510
253	5.4673	0.2270	0.2513
254	5.4619	0.2274	0.2519
255	5.4725	0.2272	0.2523
256	5.4546	0.2273	0.2516
257	5.4555	0.2273	0.2518
258	5.4696	0.2280	0.2521
259	5.4687	0.2278	0.2515
260	5.4695	0.2263	0.2513
261	5.4586	0.2275	0.2526
262	5.4678	0.2282	0.2515
263	5.4675	0.2270	0.2518
264	5.4524	0.2285	0.2512
265	5.4674	0.2282	0.2516
266	5.4630	0.2291	0.2507
267	5.4633	0.2280	0.2518
268	5.4546	0.2301	0.2517
269	5.4683	0.2269	0.2511
270	5.4636	0.2287	0.2516
271	5.4523	0.2274	0.2515
272	5.4573	0.2268	0.2512
273	5.4652	0.2250	0.2520
274	5.4734	0.2254	0.2511
275	5.4527	0.2272	0.2522
276	5.4653	0.2260	0.2520
277	5.4630	0.2277	0.2516
278	5.4655	0.2301	0.2517
279	5.4620	0.2282	0.2514
280	5.4643	0.2270	0.2514
281	5.4583	0.2293	0.2518
282	5.4710	0.2270	0.2524
283	5.4717	0.2263	0.2521
284	5.4613	0.2301	0.2517
285	5.4782	0.2255	0.2506
286	5.4682	0.2289	0.2508
287	5.4629	0.2273	0.2518
288	5.4651	0.2258	0.2524
289	5.4549	0.2270	0.2516
290	5.4635	0.2260	0.2511
291	5.4704	0.2254	0.2524
292	5.4764	0.2271	0.2512
293	5.4744	0.2246	0.2515
294	5.4598	0.2273	0.2512
295	5.4592	0.2262	0.2506
296	5.4754	0.2237	0.2511
297	5.4649	0.2282	0.2522
298	5.4716	0.2269	0.2520
299	5.4617	0.2297	0.2525
300	5.4696	0.2264	0.2519
301	5.4626	0.2265	0.2515
302	5.4639	0.2261	0.2511
303	5.4656	0.2272	0.2509
304	5.4681	0.2276	0.2516
305	5.4522	0.2273	0.2520
306	5.4513	0.2291	0.2524
307	5.4612	0.2294	0.2516
308	5.4749	0.2262	0.2515
309	5.4605	0.2267	0.2516
310	5.4643	0.2266	0.2516
311	5.4652	0.2275	0.2513
312	5.4740	0.2263	0.2509
313	5.4611	0.2268	0.2526
314	5.4610	0.2271	0.2517
315	5.4722	0.2273	0.2520
316	5.4532	0.2267	0.2512
317	5.4631	0.2272	0.2516
318	5.4716	0.2255	0.2514
319	5.4603	0.2264	0.2513
320	5.4662	0.2255	0.2512
321	5.4698	0.2258	0.2517
322	5.4738	0.2244	0.2518
323	5.4600	0.2253	0.2518
324	5.4658	0.2262	0.2511
325	5.4679	0.2267	0.2516
326	5.4783	0.2258	0.2517
327	5.4652	0.2258	0.2515
328	5.4630	0.2280	0.2514
329	5.4656	0.2290	0.2524
330	5.4582	0.2264	0.2520
331	5.4708	0.2269	0.2514
332	5.4547	0.2280	0.2516
333	5.4638	0.2297	0.2514
334	5.4613	0.2283	0.2521
335	5.4759	0.2255	0.2518
336	5.4692	0.2265	0.2512
337	5.4678	0.2265	0.2521
338	5.4566	0.2272	0.2520
339	5.4572	0.2274	0.2514
340	5.4813	0.2253	0.2514
341	5.4782	0.2255	0.2516
342	5.4730	0.2262	0.2507
343	5.4655	0.2281	0.2510
344	5.4736	0.2286	0.2525
345	5.4677	0.2249	0.2517
346	5.4644	0.2259	0.2516
347	5.4682	0.2270	0.2513
348	5.4606	0.2263	0.2518
349	5.4688	0.2262	0.2519
350	5.4744	0.2259	0.2519
351	5.4635	0.2263	0.2512
352	5.4587	0.2274	0.2518
353	5.4616	0.2271	0.2514
354	5.4801	0.2263	0.2516
355	5.4717	0.2255	0.2516
356	5.4673	0.2292	0.2514
357	5.4550	0.2277	0.2514
358	5.4612	0.2251	0.2517
359	5.4770	0.2260	0.2514
360	5.4602	0.2249	0.2512
361	5.4614	0.2262	0.2520
362	5.4741	0.2254	0.2522
363	5.4622	0.2271	0.2512
364	5.4739	0.2262	0.2525
365	5.4733	0.2274	0.2526
366	5.4706	0.2248	0.2510
367	5.4596	0.2258	0.2519
368	5.4736	0.2251	0.2519
369	5.4605	0.2270	0.2515
370	5.4553	0.2269	0.2513
371	5.4618	0.2264	0.2513
372	5.4662	0.2270	0.2513
373	5.4549	0.2263	0.2519
374	5.4665	0.2275	0.2521
375	5.4555	0.2279	0.2518
376	5.4604	0.2270	0.2522
377	5.4687	0.2265	0.2518
378	5.4598	0.2271	0.2519
379	5.4743	0.2261	0.2527
380	5.4561	0.2293	0.2514
381	5.4696	0.2268	0.2517
382	5.4683	0.2260	0.2514
383	5.4523	0.2289	0.2515
384	5.4680	0.2258	0.2514
385	5.4664	0.2275	0.2513
386	5.4690	0.2278	0.2511
387	5.4712	0.2264	0.2517
388	5.4638	0.2254	0.2524
389	5.4685	0.2267	0.2512
390	5.4568	0.2270	0.2521
391	5.4754	0.2275	0.2522
392	5.4722	0.2260	0.2515
393	5.4650	0.2274	0.2517
394	5.4676	0.2255	0.2517
395	5.4655	0.2264	0.2518
396	5.4685	0.2304	0.2520
397	5.4736	0.2264	0.2512
398	5.4687	0.2279	0.2514
399	5.4655	0.2271	0.2517
400	5.4682	0.2266	0.2518
