Epoch	Train Loss	Validation Loss
266	0.0744	0.1152
267	0.0744	0.1151
268	0.0746	0.1151
269	0.0744	0.1151
270	0.0745	0.1150
271	0.0745	0.1150
272	0.0747	0.1151
273	0.0745	0.1151
274	0.0744	0.1151
275	0.0745	0.1151
276	0.0745	0.1151
277	0.0745	0.1151
278	0.0745	0.1151
279	0.0746	0.1151
280	0.0746	0.1151
281	0.0745	0.1151
282	0.0746	0.1151
283	0.0746	0.1151
284	0.0746	0.1151
285	0.0743	0.1151
286	0.0745	0.1152
287	0.0744	0.1152
288	0.0745	0.1151
289	0.0744	0.1152
290	0.0744	0.1151
291	0.0745	0.1151
292	0.0745	0.1151
293	0.0745	0.1151
294	0.0744	0.1152
295	0.0744	0.1151
296	0.0745	0.1151
297	0.0743	0.1151
298	0.0746	0.1151
299	0.0745	0.1151
300	0.0744	0.1151
301	0.0744	0.1151
302	0.0744	0.1151
303	0.0746	0.1151
304	0.0746	0.1151
305	0.0744	0.1151
306	0.0744	0.1151
307	0.0745	0.1151
308	0.0746	0.1151
309	0.0745	0.1151
310	0.0744	0.1151
311	0.0745	0.1151
312	0.0746	0.1151
313	0.0745	0.1151
314	0.0743	0.1151
315	0.0745	0.1151
316	0.0744	0.1151
317	0.0744	0.1151
318	0.0745	0.1151
319	0.0745	0.1151
320	0.0745	0.1151
321	0.0744	0.1151
322	0.0745	0.1151
323	0.0745	0.1151
324	0.0745	0.1152
325	0.0744	0.1151
326	0.0745	0.1151
327	0.0744	0.1152
328	0.0744	0.1152
329	0.0745	0.1151
330	0.0745	0.1151
331	0.0745	0.1151
332	0.0744	0.1151
333	0.0746	0.1152
334	0.0744	0.1152
335	0.0744	0.1151
336	0.0745	0.1151
337	0.0746	0.1151
338	0.0744	0.1151
339	0.0746	0.1151
340	0.0745	0.1151
341	0.0746	0.1151
342	0.0744	0.1151
343	0.0744	0.1151
344	0.0743	0.1151
345	0.0745	0.1151
346	0.0744	0.1151
347	0.0745	0.1151
348	0.0745	0.1151
349	0.0745	0.1151
350	0.0745	0.1151
351	0.0744	0.1151
352	0.0745	0.1151
353	0.0745	0.1151
354	0.0746	0.1151
355	0.0745	0.1151
356	0.0745	0.1151
357	0.0746	0.1151
358	0.0746	0.1151
359	0.0744	0.1151
360	0.0745	0.1151
361	0.0744	0.1151
362	0.0746	0.1151
363	0.0745	0.1151
364	0.0744	0.1151
365	0.0745	0.1151
366	0.0745	0.1151
367	0.0744	0.1151
368	0.0745	0.1151
369	0.0744	0.1151
370	0.0745	0.1151
371	0.0746	0.1151
372	0.0746	0.1151
373	0.0745	0.1151
374	0.0745	0.1151
375	0.0745	0.1151
376	0.0744	0.1151
377	0.0745	0.1151
378	0.0746	0.1151
379	0.0746	0.1151
380	0.0743	0.1151
381	0.0745	0.1151
382	0.0745	0.1151
383	0.0746	0.1151
